,index,Job Title,Company Name,Job Location,Salary,Job Type,Job URL
0,0,Data Science Intern,RP2,"Kochi, Kerala","₹15,000 - ₹30,000 a month",Internship,https://in.indeed.com/rc/clk?jk=5d6e1c3402452bd3&bb=Nr8cAPl6E8BsRgDuF-p4VxM0JnfJb-6HEiu3-gT8UBz15eEEeaXkyKflQLBW-WV-&xkcb=SoAm67M3GSke8kWMDp0LbzkdCdPP&fccid=4ea33b9cf62ebb89&cmp=RP2&ti=Data+Science+Intern&vjs=3
1,1,Internship in Data science,iDataLytics,"Ernakulam, Kerala","₹12,000 - ₹15,000 a month",Internship,https://in.indeed.com/rc/clk?jk=629a74f38363d002&bb=rOCi1uJssscgWJZDQySITJwPqMUGp699Y09_H_Uf7pJgPxhw5jTkedxrMgTfjbbi&xkcb=SoDX67M3GSke8k2MDp0KbzkdCdPP&fccid=44ed11425fb8dcf8&cmp=iDataLytics&ti=Data+Scientist&vjs=3
2,2,Lead II - Data Science,UST,"Kochi, Kerala","₹15,000 - ₹17,000 a month",Internship,https://in.indeed.com/rc/clk?jk=e7f9f057900aa019&bb=JdgLvQiFWpsD2U39WB1x0raUMY8gzfaa4Fm89GdqUaytuipjC1MkJ4o_h-wNIHlX&xkcb=SoA667M3GSke8nWMDp0LbzkdCdPP&fccid=810178099fb1fcbc&vjs=3
3,3,Data Science Teaching faculty,TECHOLAS TECHNOLOGIES,"Kochi, Kerala","₹45,000 - ₹75,000 a month",Internship,https://in.indeed.com/rc/clk?jk=bda749204c572170&bb=JdgLvQiFWpuL290EOMqUH0s5to4faR4sriphsJkicU7pmXDT1Iim00nb8JjoG_ur&xkcb=SoAT67M3GSke8nWMDp0JbzkdCdPP&fccid=296b19924fd591c8&cmp=TECHOLAS-TECHNOLOGIES&ti=Data+Scientist&vjs=3
4,4,"Collibra, Data Governance Lead",UST,"Kochi, Kerala","From ₹2,000 a day",Internship,https://in.indeed.com/rc/clk?jk=9245520153e1166b&bb=JdgLvQiFWpss9IpAgfRjoc7rwCOw2Hi2U7nDYZ9J_3s7cFEZamMPOF6wDwZRMBej&xkcb=SoAp67M3GSke8nWMDp0PbzkdCdPP&fccid=810178099fb1fcbc&vjs=3
5,5,Data Scientist,Air India,"Kochi, Kerala",Not specified,Internship,https://in.indeed.com/rc/clk?jk=6e01c08180a2561d&bb=SPDu-5_haQCFs74qqKVBCWr4q2B06LbeSWHGfe3SQPGmT1aQu172dTsVD5hTd940&xkcb=SoDL67M3GSke8n2MDp0KbzkdCdPP&fccid=5b8a9a7aff3f1856&vjs=3
6,6,Data Science Assistant Director - EDS,EY,"Kochi, Kerala",Not specified,Internship,https://in.indeed.com/rc/clk?jk=139e4f66a412a510&bb=SPDu-5_haQAQ6h-UpqiFfRxm1hnhYme2IrJFuSJWog_9sB6uvPZg_uzU3Krqj8V-&xkcb=SoDi67M3GSke8n2MDp0IbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
7,7,Data Science Trainer,Futuro It Solution,"Ernakulam, Kerala",Not specified,Internship,https://in.indeed.com/rc/clk?jk=8b8562d42bc86b2c&bb=ji5fzw7i6YFGU54RC54_TW2FsLEbvdjI89845cWKMaNVrAjx_lmbHVkU4IVrTnU7&xkcb=SoDx67M3GSke8mWMDp0LbzkdCdPP&fccid=8c7ca38fe7385655&cmp=Futuro-It-Solution&ti=Data+Scientist&vjs=3
8,8,Data Science Trainer,Quest Innovative Solutions Pvt Ltd,"Kochi, Kerala",Not specified,Internship,https://in.indeed.com/rc/clk?jk=0ebf4b83039a08c8&bb=ji5fzw7i6YEfG6ioqbQXmEWMN9TVBy_4fsMtw1Bv_V2vufSfUw4f324ybnXJndDV&xkcb=SoDY67M3GSke8mWMDp0JbzkdCdPP&fccid=b9424869a619c1a1&cmp=QUEST-INNOVATIVE-SOLUTIONS&ti=Data+Scientist&vjs=3
9,9,Senior Full-Stack Developer (JAVA or ASP.NET),BLUEBLOCKS,"Ernakulam, Kerala",Not specified,Internship,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BjdOJPAEGnuyPrTkTmorhKhVK-_1P5UtmQ6GRHnRsx91vV54xoLq0jXiiap2nUiBGU8yjbotSsHe-bWnoNIRc9SuSfLNPFT9A_nKh53GUrFHh-T3lrhM0YQNvKZc4SproeByVyYMAh8OkjIEn0sCY0hJZBjdz4CP_4xPKAMnWHUy_K9N9PlGKKVpWhUv1E7qOKESkdiMrP8-NEG5Uv12Ic1_61FxP14OHXeHnT6WNc70vvErZx_fx9RCJYMDyLlDyIlakB1FSlVkyS3RzmSjkEdbNHrqHsDwuRGIWFL8tqJlh38V7IS6qoL7e2ziWK7V0McTO5X55ChWfCCUr6e7fg5medAKf2FE6rDiXYENBWlCvbZlrobzCV4DaKM9wuK9n1dZHlhWvPl6DmaWGXMn7BHIUWH96_dZqw9ks50edUuu0jcPapoqJFHoNrOtxopiYkWvygRSA_8oQCafoNx5cNP2hyXo4gfzGAP9zuRK_F4Pz0YHtk5CA4XBx5PvurXDx6kXs9haFzsZ24U-499eYMNHNQavymjIMAVQdp9dHJMoKS2jOua2MeQNGtKqLJQRp4-WBxqI44KFhbY4w7K7XF8_0Apwc7LaOr0XLg6F7SckBeqVQupjxwT8f3MW3Rwm4=&xkcb=SoCP6_M3GSke_cwFkx0BbzkdCdPP&p=9&fvj=1&vjs=3
